clients_count,epochs,batch_size,round,nmi,ari,accuracy
20,200,64,1,0,0,0.19355
20,200,64,2,0,0,0.80645
20,200,64,3,0,0,0.80645
20,200,64,4,0,0,0.80645
20,200,64,5,0,0,0.80645
20,200,64,6,0,0,0.80645
20,200,64,7,0,0,0.80645
20,200,64,8,0,0,0.80645
20,200,64,9,0,0,0.80645
20,200,64,10,0,0,0.80645
20,200,64,11,0,0,0.80645
20,200,64,12,0,0,0.80645
20,200,64,13,0,0,0.80645
20,200,64,14,0,0,0.80645
20,200,64,15,0,0,0.80645
20,200,64,16,0.08342,0.20349,0.80645
20,200,64,17,0.08342,0.20349,0.80645
20,200,64,18,0.04865,0.14342,0.77419
20,200,64,19,0.01446,0.0554,0.70968
20,200,64,20,0.14656,0.277,0.83871
20,200,64,21,0.0276,0.0946,0.74194
20,200,64,22,0.14656,0.277,0.83871
20,200,64,23,0.08342,0.20349,0.80645
20,200,64,25,0.08342,0.20349,0.80645
20,200,64,26,0.04865,0.14342,0.77419
20,200,64,27,0.04865,0.14342,0.77419
20,200,64,28,0.04865,0.14342,0.77419
20,200,64,29,0.08585,0.13182,0.70968
20,200,64,30,0.08342,0.20349,0.80645
20,200,64,31,0.08342,0.20349,0.80645
20,200,64,32,0.0886,0.19852,0.77419
20,200,64,33,0.06272,0.14534,0.74194
20,200,64,34,0.0276,0.0946,0.74194
20,200,64,35,0.14656,0.277,0.83871
20,200,64,36,0.08342,0.20349,0.80645
20,200,64,37,0.01446,0.0554,0.70968
20,200,64,38,0.14656,0.277,0.83871
20,200,64,39,0.08342,0.20349,0.80645
20,200,64,40,0.08342,0.20349,0.80645
20,200,64,41,0.08342,0.20349,0.80645
20,200,64,42,0.08342,0.20349,0.80645
20,200,64,43,0.14656,0.277,0.83871
20,200,64,44,0.04865,0.14342,0.77419
20,200,64,45,0.04865,0.14342,0.77419
20,200,64,46,0.08342,0.20349,0.80645
20,200,64,47,0.08342,0.20349,0.80645
20,200,64,48,0.04865,0.14342,0.77419
20,200,64,49,0.14656,0.277,0.83871
20,200,64,50,0.08342,0.20349,0.80645
20,200,64,51,0.08342,0.20349,0.80645
20,200,64,52,0.08342,0.20349,0.80645
20,200,64,53,0.04865,0.14342,0.77419
20,200,64,54,0.08342,0.20349,0.80645
20,200,64,55,0.14656,0.277,0.83871
20,200,64,56,0.04364,0.10105,0.70968
20,200,64,57,0.04865,0.14342,0.77419
20,200,64,58,0.04865,0.14342,0.77419
20,200,64,59,0.1745,0.19076,0.83871
20,200,64,60,0.14656,0.277,0.83871
20,200,64,61,0.08342,0.20349,0.80645
20,200,64,62,0.0886,0.19852,0.77419
20,200,64,63,0.04865,0.14342,0.77419
20,200,64,64,0.04865,0.14342,0.77419
20,200,64,65,0.12469,0.2619,0.80645
20,200,64,66,0.04865,0.14342,0.77419
20,200,64,67,0.08342,0.20349,0.80645
20,200,64,68,0.14656,0.277,0.83871
20,200,64,69,0.14656,0.277,0.83871
20,200,64,70,0.0886,0.19852,0.77419
20,200,64,71,0.08585,0.13182,0.70968
20,200,64,72,0.14656,0.277,0.83871
20,200,64,73,0.14656,0.277,0.83871
20,200,64,74,0.14656,0.277,0.83871
20,200,64,75,0.14656,0.277,0.83871
20,200,64,76,0.08342,0.20349,0.80645
20,200,64,77,0.14656,0.277,0.83871
20,200,64,78,0.04865,0.14342,0.77419
20,200,64,79,0.14656,0.277,0.83871
20,200,64,80,0.14656,0.277,0.83871
20,200,64,81,0.14656,0.277,0.83871
20,200,64,82,0.14656,0.277,0.83871
20,200,64,83,0.14656,0.277,0.83871
20,200,64,84,0.04865,0.14342,0.77419
20,200,64,85,0.08342,0.20349,0.80645
20,200,64,86,0.08342,0.20349,0.80645
20,200,64,87,0.14656,0.277,0.83871
20,200,64,88,0.04865,0.14342,0.77419
20,200,64,89,5.00E-05,-0.00954,0.70968
20,200,64,90,0.08342,0.20349,0.80645
20,200,64,91,0.08827,0.03045,0.6129
20,200,64,92,0.06272,0.14534,0.74194
20,200,64,93,0.22439,0.37981,0.83871
20,200,64,94,0.04865,0.14342,0.77419
20,200,64,95,0.04865,0.14342,0.77419
20,200,64,96,0.04865,0.14342,0.77419
20,200,64,97,0.14656,0.277,0.83871
20,200,64,98,0.04865,0.14342,0.77419
20,200,64,99,0.08342,0.20349,0.80645
20,200,64,100,0.14656,0.277,0.83871
20,200,64,101,0.08342,0.20349,0.80645
20,200,64,102,0.04865,0.14342,0.77419
20,200,64,103,0.04865,0.14342,0.77419
20,200,64,104,0.12469,0.2619,0.80645
20,200,64,105,0.31763,0.36687,0.87097
20,200,64,106,0.14656,0.277,0.83871
20,200,64,107,0.14656,0.277,0.83871
20,200,64,108,0.14656,0.277,0.83871
20,200,64,109,0.26247,0.42652,0.87097
20,200,64,110,0.29169,0.46857,0.87097
20,200,64,111,0.39259,0.57171,0.90323
20,200,64,112,0.08342,0.20349,0.80645
20,200,64,113,0.14656,0.277,0.83871
20,200,64,114,0.17754,0.33717,0.83871
20,200,64,115,0.26247,0.42652,0.87097
20,200,64,116,0.17754,0.33717,0.83871
20,200,64,117,0.12469,0.2619,0.80645
20,200,64,118,0.04865,0.14342,0.77419
20,200,64,119,0.39259,0.57171,0.90323
20,200,64,120,0.26247,0.42652,0.87097
20,200,64,121,0.29169,0.46857,0.87097
20,200,64,122,0.29169,0.46857,0.87097
20,200,64,123,0.39259,0.57171,0.90323
20,200,64,124,0.39259,0.57171,0.90323
20,200,64,125,0.39259,0.57171,0.90323
20,200,64,126,0.39259,0.57171,0.90323
20,200,64,127,0.39259,0.57171,0.90323
20,200,64,128,0.39259,0.57171,0.90323
20,200,64,129,0.26247,0.42652,0.87097
20,200,64,130,0.26247,0.42652,0.87097
20,200,64,131,0.26247,0.42652,0.87097
20,200,64,132,0.39259,0.57171,0.90323
20,200,64,133,0.26247,0.42652,0.87097
20,200,64,134,0.39259,0.57171,0.90323
20,200,64,135,0.54685,0.7146,0.93548
20,200,64,136,0.35376,0.49835,0.87097
20,200,64,137,0.24648,0.3319,0.80645
20,200,64,138,0.29169,0.46857,0.87097
20,200,64,139,0.17754,0.33717,0.83871
20,200,64,140,0.45419,0.53283,0.90323
20,200,64,141,0.39259,0.57171,0.90323
20,200,64,142,0.39259,0.57171,0.90323
20,200,64,143,0.54685,0.7146,0.93548
20,200,64,144,0.54685,0.7146,0.93548
20,200,64,145,0.31763,0.36687,0.87097
20,200,64,146,0.54685,0.7146,0.93548
20,200,64,147,0.59677,0.69202,0.93548
20,200,64,148,0.45419,0.53283,0.90323
20,200,64,149,0.54685,0.7146,0.93548
20,200,64,150,0.54685,0.7146,0.93548
20,200,64,151,0.39259,0.57171,0.90323
20,200,64,152,0.43324,0.59926,0.90323
20,200,64,153,0.43324,0.59926,0.90323
20,200,64,154,0.35376,0.49835,0.87097
20,200,64,155,0.29378,0.40978,0.83871
20,200,64,156,0.39259,0.57171,0.90323
20,200,64,157,0.39259,0.57171,0.90323
20,200,64,158,0.54685,0.7146,0.93548
20,200,64,159,0.54685,0.7146,0.93548
20,200,64,160,0.43324,0.59926,0.90323
20,200,64,161,0.29378,0.40978,0.83871
20,200,64,162,0.24648,0.3319,0.80645
20,200,64,163,0.05896,-0.02132,0.54839
20,200,64,164,0.45419,0.53283,0.90323
20,200,64,165,0.54685,0.7146,0.93548
20,200,64,166,0.17612,0.20313,0.74194
20,200,64,167,0.14912,0.15033,0.70968
20,200,64,168,0.31763,0.36687,0.87097
20,200,64,169,0.59677,0.69202,0.93548
20,200,64,170,0.39259,0.57171,0.90323
20,200,64,171,0.39259,0.57171,0.90323
20,200,64,172,0.29169,0.46857,0.87097
20,200,64,173,0.26247,0.42652,0.87097
20,200,64,174,0.17754,0.33717,0.83871
20,200,64,175,0.45419,0.53283,0.90323
20,200,64,176,0.45419,0.53283,0.90323
20,200,64,177,0.12469,0.2619,0.80645
20,200,64,178,0.45419,0.53283,0.90323
20,200,64,179,0.22439,0.37981,0.83871
20,200,64,180,0.35376,0.49835,0.87097
20,200,64,181,0.29169,0.46857,0.87097
20,200,64,182,0.43324,0.59926,0.90323
20,200,64,183,0.45419,0.53283,0.90323
20,200,64,184,0.45419,0.53283,0.90323
20,200,64,185,0.45419,0.53283,0.90323
20,200,64,186,0.45419,0.53283,0.90323
20,200,64,187,0.59677,0.69202,0.93548
20,200,64,188,0.45419,0.53283,0.90323
20,200,64,189,0.39259,0.57171,0.90323
20,200,64,190,0.39259,0.57171,0.90323
20,200,64,191,0.45419,0.53283,0.90323
20,200,64,192,0.29169,0.46857,0.87097
20,200,64,193,0.29169,0.46857,0.87097
20,200,64,194,0.39259,0.57171,0.90323
20,200,64,195,0.76002,0.84704,0.96774
20,200,64,196,0.54685,0.7146,0.93548
20,200,64,197,0.54685,0.7146,0.93548
20,200,64,198,0.43324,0.59926,0.90323
20,200,64,199,0.26247,0.42652,0.87097
20,200,64,200,0.54685,0.7146,0.93548
20,200,64,201,0.59677,0.69202,0.93548
